Candidate,Home State,Delegate Count,Contests Won,Popular Vote,Percentage,Bio,nickname
Joe Biden,Delaware,2695,46,19080074,51.70%,"Joseph Robinette Biden Jr. (born November 20, 1942), is a member of the Democratic Party who served as the 47th vice president from 2009 to 2017 under President Barack Obama and represented Delaware in the United States Senate from 1974 to 2009. As a senator, he is best known for drafting and leading the effort to pass the Violent Crime Control and Law Enforcement Act as well as the Violence Against Women Act. He ran unsuccessfully for the Democratic presidential nomination in 1988 and 2008, with 2020 being his 3rd attempt at the nomination.",biden
Bernie Sanders,Vermont,1117,9,9680121,26.20%,"Bernard Sanders (born September 8, 1941) is the senior United States senator from Vermont. Sanders is the longest-serving independent in U.S. congressional history but has a close relationship with the Democratic Party, as he has caucused with House and Senate Democrats for most of his congressional career. Sanders sought the Democratic Party’s presidential nomination in 2016 and again now in 2020, coming 2nd during his first bid. Sanders was elected mayor of Burlington, Vermont in 1981 and was reelected 3 times. He served in the U.S. House of Representatives from 1990-2006 representing Vermont’s at-large congressional district, before being elected to the U.S. Senate in 2006, a position he has since held.",sanders
Elizabeth Warren,Massachusetts,79,0,2831566,7.70%,"Elizabeth Ann Warren (born June 22, 1949) is the senior United States senator from Massachusetts, serving since 2013. A former law professor, she has been regarded as one of the most influential professors in commercial and bankruptcy law. She is regarded as a progressive, focusing on consumer protection, equitable economic opportunity, and the social safety net. Warren became the first female U.S. senator from Massachusetts in 2012, and won re-election by a wide margin in 2018.",warren
Michael Bloomberg,New York,51,1,2552320,6.90%,"Michael Rubens Bloomberg (born February 14, 1942) is an American businessman, politician, philanthropist, and author. He is the co-founder and majority owner of Bloomberg L.P., holding position of CEO from 2014 to 2023. Formerly, he served as the major of New York City for three terms from 2002 and 2013, where he pursed socially liberal and fiscally moderate policies. He was best known for establishing public charter schools and supporting gun control, public health initiatives, and environmental protections.",bloomberg
Pete Buttigieg,Indiana,26,2,924279,2.50%,"Peter Paul Montgomery Buttigieg (born January 19, 1982) is an American politician and formal naval officer who is serving as the 19th United States Secretary of Transportation. Formerly, he was the 32nd mayor of South Bend, Indiana, from 2012 to 2020, which earned him his nickname “Mayor Pete.” From 2009 to 2017, he served as an intelligence officer in the United States Navy Reserve, attaining the rank of lieutenant. He served through the War in Afghanistan, being deployed there for 7 months in 2014.",pete
